,evt_block_time,tokens_minted
484,2021-04-19,46
485,2021-04-20,21
486,2021-04-21,31
487,2021-04-22,17
488,2021-04-23,736
489,2021-04-24,200
490,2021-04-25,92
491,2021-04-26,302
492,2021-04-27,63
493,2021-04-28,39
494,2021-04-29,126
495,2021-04-30,659
496,2021-05-01,335
497,2021-05-02,45
498,2021-05-03,30
499,2021-05-04,137
500,2021-05-05,71
501,2021-05-06,20
502,2021-05-07,437
503,2021-05-08,59
504,2021-05-09,72
505,2021-05-10,6
506,2021-05-12,2
507,2021-05-13,12
508,2021-05-14,1006
509,2021-05-15,85
510,2021-05-16,24
511,2021-05-17,38
512,2021-05-18,52
513,2021-05-19,34
514,2021-05-20,36
515,2021-05-21,287
516,2021-05-22,220
517,2021-05-23,47
518,2021-05-24,89
519,2021-05-25,94
520,2021-05-26,27
521,2021-05-27,34
522,2021-05-28,541
523,2021-05-29,628
524,2021-05-30,19
525,2021-05-31,382
526,2021-06-01,338
527,2021-06-02,22
528,2021-06-03,23
529,2021-06-04,30
530,2021-06-05,14
531,2021-06-06,28
532,2021-06-07,13
533,2021-06-08,19
534,2021-06-09,12
535,2021-06-10,15
536,2021-06-11,1027
537,2021-06-12,34
538,2021-06-13,328
539,2021-06-14,31
540,2021-06-15,74
541,2021-06-16,225
542,2021-06-17,131
543,2021-06-18,1040
544,2021-06-19,121
545,2021-06-20,320
546,2021-06-21,48
547,2021-06-22,94
548,2021-06-23,180
549,2021-06-24,1879
550,2021-06-25,1560
551,2021-06-26,804
552,2021-06-27,454
553,2021-06-28,931
554,2021-06-29,262
555,2021-06-30,513
556,2021-07-01,122
557,2021-07-02,913
558,2021-07-03,648
559,2021-07-04,127
560,2021-07-05,1172
561,2021-07-06,17
562,2021-07-07,1050
563,2021-07-08,30
564,2021-07-09,418
565,2021-07-10,1067
566,2021-07-11,782
567,2021-07-12,131
568,2021-07-13,124
569,2021-07-14,408
570,2021-07-15,487
571,2021-07-16,341
572,2021-07-17,1882
573,2021-07-18,130
574,2021-07-19,652
575,2021-07-20,132
576,2021-07-21,793
577,2021-07-22,135
578,2021-07-23,1311
579,2021-07-24,118
580,2021-07-25,108
