"DateTime";"Primary sales USD";"Secondary sales USD"
"2021-08-14 00:00:00";480773,09;18503692,53
"2021-08-15 00:00:00";45862,03;9027935,02
"2021-08-16 00:00:00";1060276,42;7074900,69
"2021-08-17 00:00:00";3224102,93;6581797,05
"2021-08-18 00:00:00";5640754,22;9171772,24
"2021-08-19 00:00:00";33302,04;4576670,83
"2021-08-20 00:00:00";4415861,18;24191702,69
"2021-08-21 00:00:00";3777443,77;42031521,23
"2021-08-22 00:00:00";227034,64;35019535,75
"2021-08-23 00:00:00";7977572,85;59872514,8
"2021-08-24 00:00:00";46727,14;46945440,36
"2021-08-25 00:00:00";10200494,23;26048217,51
"2021-08-26 00:00:00";377062,12;34958776,26
"2021-08-27 00:00:00";16365138,45;54208583,53
"2021-08-28 00:00:00";16472517,89;33690131,84
"2021-08-29 00:00:00";237996,68;18505208,05
"2021-08-30 00:00:00";6060613,13;43827797,51
"2021-08-31 00:00:00";181430,32;21722989,61
"2021-09-01 00:00:00";4555346,59;15685681,27
"2021-09-02 00:00:00";80724,17;8707490,84
"2021-09-03 00:00:00";12740280,69;12367526,89
"2021-09-04 00:00:00";81972,29;6534433,35
"2021-09-05 00:00:00";61772,14;4415312,62
"2021-09-06 00:00:00";21271,71;4660727,02
"2021-09-07 00:00:00";1012768,9;3364128,76
"2021-09-08 00:00:00";26833,96;5433690,22
"2021-09-09 00:00:00";1087919,15;2959264,82
"2021-09-10 00:00:00";899420,75;2450076,28
"2021-09-11 00:00:00";0;2106231,42
"2021-09-12 00:00:00";11270,96;2489171,5
"2021-09-13 00:00:00";7695193,75;17832739,49
"2021-09-14 00:00:00";1184565,48;8639092,31
"2021-09-15 00:00:00";64036,91;10143515,2
"2021-09-16 00:00:00";3138957,36;17714090,8
"2021-09-17 00:00:00";497834,76;4060232,92
"2021-09-18 00:00:00";10027,5;5612243,69
"2021-09-19 00:00:00";121229,37;2714487,14
"2021-09-20 00:00:00";15741,49;4596559,51
"2021-09-21 00:00:00";4288724,36;10243146,72
"2021-09-22 00:00:00";326913,4;2829011,87
"2021-09-23 00:00:00";549304,68;3564296,28
"2021-09-24 00:00:00";976544,86;2877438,62
"2021-09-25 00:00:00";36530,43;2065264,79
"2021-09-26 00:00:00";52728,43;7454250,93
"2021-09-27 00:00:00";17711229,21;20724033,24
"2021-09-28 00:00:00";17502368,26;23306539,83
"2021-09-29 00:00:00";70528,86;10572304,53
"2021-09-30 00:00:00";1020024,95;10989212,32
"2021-10-01 00:00:00";1301225,2;13318892,24
"2021-10-02 00:00:00";314632,9;14160157,93
"2021-10-03 00:00:00";63500,09;5863606,35
"2021-10-04 00:00:00";35571,23;5200432,13
"2021-10-05 00:00:00";309730,57;3479605,36
"2021-10-06 00:00:00";1102441,77;3057980,39
"2021-10-07 00:00:00";26957,01;4942675,88
"2021-10-08 00:00:00";37886,35;2995761,3
"2021-10-09 00:00:00";28504,8;4127473,39
"2021-10-10 00:00:00";70984,89;4066691,02
"2021-10-11 00:00:00";28025,72;2018971,95
"2021-10-12 00:00:00";12409,26;2457415,68
"2021-10-13 00:00:00";390939,69;3665568,31
"2021-10-14 00:00:00";32905,34;2761453,67
"2021-10-15 00:00:00";169226,38;2861999,92
"2021-10-16 00:00:00";83729,38;1027676,8
"2021-10-17 00:00:00";41182,27;1568027,21
"2021-10-18 00:00:00";10971,88;1323991,12
"2021-10-19 00:00:00";1508333,03;2795032,58
"2021-10-20 00:00:00";169178,43;1067304,54
"2021-10-21 00:00:00";1736248,31;2034623,33
"2021-10-22 00:00:00";29381,89;1278701,24
"2021-10-23 00:00:00";19216,02;2131697,49
"2021-10-24 00:00:00";81767,22;2251058,04
"2021-10-25 00:00:00";10004,14;2695309,12
"2021-10-26 00:00:00";141687,03;1890662,04
"2021-10-27 00:00:00";21257,59;1358791,76
"2021-10-28 00:00:00";50755,25;1009083,37
"2021-10-29 00:00:00";522837,4;2355513,89
"2021-10-30 00:00:00";426128,44;1499719,42
"2021-10-31 00:00:00";8581,92;2883782,96
"2021-11-01 00:00:00";16137,28;782218,17
"2021-11-02 00:00:00";64670,52;2443029,98
"2021-11-03 00:00:00";199796,27;914605,93
"2021-11-04 00:00:00";58141,83;1844971,57
"2021-11-05 00:00:00";619320,06;1506027,16
"2021-11-06 00:00:00";172453,93;1132575,29
"2021-11-07 00:00:00";126836,79;1183840,18
"2021-11-08 00:00:00";11555721,89;12499490,78
"2021-11-09 00:00:00";111194,73;4574869,83
"2021-11-10 00:00:00";42121,15;3045976,38
"2021-11-11 00:00:00";97914,51;1402611,85
"2021-11-12 00:00:00";366525,03;3848046,57
"2021-11-13 00:00:00";299976,58;4811437,26
"2021-11-14 00:00:00";301729,59;4279413,82
"2021-11-15 00:00:00";9714132,41;4022484,65
"2021-11-16 00:00:00";1360069,89;3411627,92
"2021-11-17 00:00:00";27147,27;4265739,78
"2021-11-18 00:00:00";9773;1702648,64
"2021-11-19 00:00:00";193857,99;1469844,51
"2021-11-20 00:00:00";159036,12;1088316,81
"2021-11-21 00:00:00";172979,17;1036782,74
"2021-11-22 00:00:00";2961614,37;1879128,49
"2021-11-23 00:00:00";322628,24;1222941,31
"2021-11-24 00:00:00";150208,28;849718,65
"2021-11-25 00:00:00";64853,19;728329,53
"2021-11-26 00:00:00";55191,59;534906,97
"2021-11-27 00:00:00";52682,42;518485,73
"2021-11-28 00:00:00";41775,58;1151529,68
"2021-11-29 00:00:00";4386371,58;4041136,58
"2021-11-30 00:00:00";79006,27;3194681,75
"2021-12-01 00:00:00";20171,82;1468811,85
"2021-12-02 00:00:00";73816,66;1300874,4
"2021-12-03 00:00:00";16001,51;1108360,8
"2021-12-04 00:00:00";35205,26;757397,62
"2021-12-05 00:00:00";72663,71;849863
"2021-12-06 00:00:00";1593708,08;2893358,66
"2021-12-07 00:00:00";479932,53;3216332,81
"2021-12-08 00:00:00";61938,16;1503704,57
"2021-12-09 00:00:00";1677635,49;2635446,44
"2021-12-10 00:00:00";112091,66;1615484,41
"2021-12-11 00:00:00";54405,52;1002354,43
"2021-12-12 00:00:00";26001,73;641208,01
"2021-12-13 00:00:00";3100517,87;3356559,33
"2021-12-14 00:00:00";599944,23;1822832,28
"2021-12-15 00:00:00";80180,86;1441497
"2021-12-16 00:00:00";89859,44;1227634,69
"2021-12-17 00:00:00";440898,05;1538689,56
"2021-12-18 00:00:00";113387,23;1319726,81
"2021-12-19 00:00:00";41439,31;1228628,69
"2021-12-20 00:00:00";4007874,96;3478972,69
"2021-12-21 00:00:00";129602,48;1179457,53
"2021-12-22 00:00:00";90878,6;1999055,44
"2021-12-23 00:00:00";38281,97;1703888,59
"2021-12-24 00:00:00";24547,17;1120561,64
"2021-12-25 00:00:00";59288,02;2849247,95
"2021-12-26 00:00:00";1236800,43;2546714,09
"2021-12-27 00:00:00";82331,34;6245937,56
"2021-12-28 00:00:00";23934,3;1019572,07
"2021-12-29 00:00:00";279760,7;2104879,17
"2021-12-30 00:00:00";16082,48;1042340,1
"2021-12-31 00:00:00";31844,82;2436425,45
"2022-01-01 00:00:00";35883,76;2580364,66
"2022-01-02 00:00:00";24014,01;1677834,58
"2022-01-03 00:00:00";91188,12;855390,47
"2022-01-04 00:00:00";27361,87;626464,91
"2022-01-05 00:00:00";7304,49;694700,13
"2022-01-06 00:00:00";50806,95;1541369,82
"2022-01-07 00:00:00";124154,42;1409878,67
"2022-01-08 00:00:00";21369,05;1142151,69
"2022-01-09 00:00:00";19578,51;1058824,98
"2022-01-10 00:00:00";7418211,41;6855533,48
"2022-01-11 00:00:00";277196,77;1592460,35
"2022-01-12 00:00:00";58145,04;1888114,8
"2022-01-13 00:00:00";40821,27;1339288,22
"2022-01-14 00:00:00";25017,61;371902,06
"2022-01-15 00:00:00";31259,07;624138,96
"2022-01-16 00:00:00";38659,25;525731,85
"2022-01-17 00:00:00";28989,08;445437,52
"2022-01-18 00:00:00";29923,46;934196,66
"2022-01-19 00:00:00";25188,04;449188,59
"2022-01-20 00:00:00";51933,36;455794,39
"2022-01-21 00:00:00";54695,1;671796,31
"2022-01-22 00:00:00";11560,6;385315,76
"2022-01-23 00:00:00";11681,17;136943,34
"2022-01-24 00:00:00";1803281,92;1194550,82
"2022-01-25 00:00:00";26921,84;670547,9
"2022-01-26 00:00:00";48281,77;953534,55
"2022-01-27 00:00:00";17260,73;854987,16
"2022-01-28 00:00:00";48562,25;3026187,88
"2022-01-29 00:00:00";12034,5;1085723,4
"2022-01-30 00:00:00";14641,88;707451,06
"2022-01-31 00:00:00";3846169,97;2692841,96
"2022-02-01 00:00:00";31071,95;2772168,81
"2022-02-02 00:00:00";11947,99;1117673,24
"2022-02-03 00:00:00";290418,86;2424352,85
"2022-02-04 00:00:00";22503,46;998752,15
"2022-02-05 00:00:00";10769,51;1592024,78
"2022-02-06 00:00:00";12857,58;973950,78
"2022-02-07 00:00:00";525074,22;628025,5
"2022-02-08 00:00:00";84939,91;1032805,88
"2022-02-09 00:00:00";10048,54;1351920,24
"2022-02-10 00:00:00";128876,85;2047286,08
"2022-02-11 00:00:00";160586,39;1097167,52
"2022-02-12 00:00:00";26545,96;1599425,81
"2022-02-13 00:00:00";17891,24;1165760,56
"2022-02-14 00:00:00";725395,99;1209248,81
